epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5884,1.241,1.23484,1.59154,0.84401,0.73459,0.83647,0.42337,1.54718,1.44842,2.03431,0.0673708,0.000329588,0.000329588
2,108.874,1.19217,1.21132,1.59339,0.6615,0.84047,0.8158,0.46073,1.356,1.11474,1.7668,0.0343559,0.000648006,0.000648006
3,160.068,1.19014,1.20634,1.57193,0.84059,0.83847,0.87312,0.47272,1.44052,1.01037,2.004,0.00132596,0.000951423,0.000951423
4,210.781,1.22222,1.21957,1.60082,0.93591,0.82921,0.90636,0.57233,1.26165,0.80308,1.72883,0.0009325,0.0009325,0.0009325
5,261.768,1.1884,1.19542,1.57089,0.79731,0.79985,0.89691,0.54169,1.37077,1.1393,1.73713,0.00091,0.00091,0.00091
6,312.894,1.19547,1.18846,1.58646,0.8254,0.81547,0.90742,0.56504,1.28885,0.90213,1.77269,0.0008875,0.0008875,0.0008875
7,363.779,1.15864,1.18253,1.54997,0.87705,0.82531,0.91286,0.57212,1.2537,0.84982,1.6864,0.000865,0.000865,0.000865
8,414.637,1.1422,1.12741,1.52077,0.81563,0.79043,0.81533,0.46279,1.37829,0.97158,1.92585,0.0008425,0.0008425,0.0008425
9,466.246,1.15423,1.10446,1.54953,0.92445,0.84443,0.92539,0.61556,1.15629,0.72112,1.62905,0.00082,0.00082,0.00082
10,518.026,1.12916,1.078,1.53124,0.96308,0.82737,0.9336,0.59302,1.25099,0.73146,1.67338,0.0007975,0.0007975,0.0007975
11,569.399,1.12459,1.11531,1.53091,0.96816,0.8192,0.91616,0.61233,1.1785,0.70642,1.64213,0.000775,0.000775,0.000775
12,619.911,1.13656,1.09365,1.52368,0.93481,0.9086,0.96299,0.59483,1.23173,0.76091,1.67833,0.0007525,0.0007525,0.0007525
13,670.203,1.10504,1.03907,1.51535,0.92722,0.82292,0.92809,0.60234,1.22846,0.73063,1.71743,0.00073,0.00073,0.00073
14,719.924,1.10242,1.0156,1.48627,0.89616,0.85863,0.92247,0.60907,1.22549,0.74324,1.67381,0.0007075,0.0007075,0.0007075
15,770.189,1.07914,1.02329,1.49727,0.91353,0.87426,0.94244,0.60195,1.17335,0.64217,1.66148,0.000685,0.000685,0.000685
16,820.936,1.09756,1.04647,1.5151,0.92373,0.86514,0.93978,0.60658,1.14656,0.69453,1.60396,0.0006625,0.0006625,0.0006625
17,872.379,1.10297,1.01987,1.49969,0.86854,0.89435,0.94901,0.63896,1.15133,0.66272,1.59994,0.00064,0.00064,0.00064
18,923.363,1.07308,0.99459,1.49177,0.90304,0.95312,0.9611,0.63414,1.15076,0.60535,1.60148,0.0006175,0.0006175,0.0006175
19,973.76,1.06703,0.95051,1.48497,0.89635,0.85969,0.91417,0.58889,1.252,0.69221,1.64889,0.000595,0.000595,0.000595
20,1023.79,1.05905,0.97069,1.46312,0.96217,0.8406,0.94747,0.58573,1.19432,0.65256,1.6591,0.0005725,0.0005725,0.0005725
21,1074.35,1.05298,0.9615,1.45978,0.89994,0.84573,0.91115,0.5909,1.21805,0.71362,1.71763,0.00055,0.00055,0.00055
22,1124.44,1.08197,0.9723,1.47195,0.8458,0.85627,0.93499,0.6305,1.14056,0.66933,1.56438,0.0005275,0.0005275,0.0005275
23,1175.35,1.04825,0.95419,1.44726,0.91215,0.83854,0.94269,0.61602,1.1708,0.64098,1.6119,0.000505,0.000505,0.000505
24,1225.82,1.02057,0.9316,1.43302,0.86665,0.92413,0.93788,0.60103,1.21457,0.67468,1.66522,0.0004825,0.0004825,0.0004825
25,1276.92,1.0387,0.94519,1.44712,0.89305,0.9263,0.9586,0.60638,1.16123,0.62973,1.61864,0.00046,0.00046,0.00046
26,1327.93,1.03087,0.93005,1.43666,0.98149,0.8164,0.94688,0.57565,1.26779,0.68237,1.75822,0.0004375,0.0004375,0.0004375
27,1378.84,1.00198,0.91305,1.4341,0.92904,0.9256,0.96138,0.65174,1.06988,0.57516,1.52544,0.000415,0.000415,0.000415
28,1429.66,1.01521,0.91434,1.435,0.90659,0.89644,0.95192,0.6484,1.08515,0.60987,1.53634,0.0003925,0.0003925,0.0003925
29,1480.22,1.00053,0.88802,1.41507,0.91028,0.90018,0.96078,0.6382,1.15377,0.60329,1.63121,0.00037,0.00037,0.00037
30,1530.52,0.98441,0.85819,1.42163,0.96347,0.89174,0.97715,0.66508,1.10237,0.53675,1.52262,0.0003475,0.0003475,0.0003475
31,1572.76,0.78862,0.68323,1.3492,0.90132,0.87637,0.94968,0.63747,1.11433,0.59153,1.59793,0.000325,0.000325,0.000325
32,1614.75,0.76568,0.60264,1.319,0.94437,0.8924,0.93982,0.61716,1.19167,0.56474,1.68226,0.0003025,0.0003025,0.0003025
33,1656.72,0.76357,0.57544,1.33588,0.95295,0.8626,0.93944,0.62213,1.1362,0.58709,1.64313,0.00028,0.00028,0.00028
34,1698.6,0.72677,0.55153,1.2959,0.94716,0.89214,0.96942,0.63958,1.12779,0.55417,1.58609,0.0002575,0.0002575,0.0002575
35,1740.89,0.73704,0.56197,1.30278,0.97109,0.85194,0.96537,0.63474,1.076,0.56365,1.53121,0.000235,0.000235,0.000235
36,1782.29,0.72057,0.54665,1.28608,0.97526,0.86567,0.9672,0.65797,1.08053,0.55457,1.56183,0.0002125,0.0002125,0.0002125
37,1824.11,0.69575,0.52299,1.26945,0.93919,0.87042,0.95335,0.65686,1.05193,0.55908,1.5263,0.00019,0.00019,0.00019
38,1865.76,0.7256,0.53546,1.28505,0.96351,0.86732,0.94861,0.64582,1.06958,0.5655,1.53847,0.0001675,0.0001675,0.0001675
39,1907.51,0.69769,0.51984,1.25908,0.96626,0.8963,0.97565,0.65944,1.04631,0.53475,1.5063,0.000145,0.000145,0.000145
40,1949.42,0.70844,0.51669,1.26402,0.96151,0.88306,0.96809,0.65919,1.04565,0.53443,1.50249,0.0001225,0.0001225,0.0001225



